time,low,high,open,close,volume
1556924400,5648.30,5680.01,5680.01,5657.40,236.01
1556928000,5656.02,5769.99,5657.41,5735.16,928.72
1556931600,5715.25,5823.96,5733.96,5793.17,835.14
1556935200,5745.00,5794.88,5792.15,5765.00,620.79
1556938800,5704.71,5773.00,5765.00,5742.95,334.59
1556942400,5650.00,5742.94,5742.94,5705.01,703.04
1556946000,5686.22,5727.81,5705.01,5705.00,297.68
1556949600,5685.33,5730.00,5705.00,5730.00,167.99
1556953200,5729.99,5790.48,5730.00,5739.09,280.53
1556956800,5718.63,5738.91,5738.90,5733.38,116.24
1556960400,5709.06,5747.45,5730.83,5711.08,88.05
1556964000,5690.39,5726.09,5711.09,5716.05,126.41
1556967600,5715.30,5742.97,5715.31,5725.71,106.08
1556971200,5692.00,5731.43,5725.71,5708.05,157.33
1556974800,5520.00,5716.94,5708.04,5570.55,1423.41
1556978400,5512.00,5592.78,5570.55,5575.01,742.51
1556982000,5551.29,5585.20,5575.00,5551.30,312.11
1556985600,5542.00,5591.61,5551.30,5580.01,255.97
1556989200,5572.00,5602.00,5580.01,5591.42,229.84
1556992800,5573.82,5606.00,5591.42,5591.20,239.81
1556996400,5584.63,5618.79,5591.21,5606.40,313.31
1557000000,5606.40,5693.97,5606.40,5689.50,479.52
1557003600,5688.00,5821.47,5688.67,5786.00,1224.01
1557007200,5770.00,5846.88,5781.03,5820.00,683.23
1557010800,5757.82,5827.53,5820.00,5770.01,404.61
1557014400,5693.00,5777.90,5770.01,5750.65,554.94
1557018000,5718.91,5752.85,5750.64,5735.77,164.58
1557021600,5735.76,5772.56,5735.77,5735.99,161.40
1557025200,5724.28,5763.81,5735.99,5755.01,148.69
1557028800,5706.00,5755.01,5755.01,5720.02,267.20
1557032400,5718.29,5758.81,5720.02,5746.50,139.08
1557036000,5721.05,5759.66,5746.50,5738.32,102.67
1557039600,5683.00,5744.18,5738.32,5705.44,252.53
1557043200,5668.34,5730.99,5705.44,5715.72,203.47
1557046800,5695.88,5723.31,5716.08,5698.49,115.35
1557050400,5682.23,5739.00,5698.49,5738.86,178.16
1557054000,5702.79,5743.00,5739.00,5708.73,79.29
1557057600,5708.73,5740.03,5708.74,5735.97,111.66
1557061200,5712.93,5757.00,5735.97,5731.18,178.86
1557064800,5678.78,5736.90,5731.78,5721.98,478.09
1557068400,5702.00,5722.00,5721.98,5711.41,216.55
1557072000,5673.29,5715.12,5711.42,5701.50,376.08
1557075600,5666.22,5708.04,5701.51,5672.15,247.61
1557079200,5627.35,5716.88,5672.15,5714.58,569.00
1557082800,5695.46,5724.51,5716.41,5705.75,198.59
1557086400,5701.56,5775.13,5703.43,5771.36,448.89
1557090000,5725.27,5782.22,5769.47,5744.93,263.66
1557093600,5706.56,5750.00,5745.09,5706.99,202.33
1557097200,5706.99,5743.80,5706.99,5715.86,106.11
1557100800,5632.05,5731.09,5715.86,5666.32,759.54
1557104400,5565.65,5685.00,5668.88,5615.70,1415.16
1557108000,5605.96,5638.67,5614.34,5621.01,246.81
1557111600,5613.12,5638.00,5621.02,5627.37,204.52
1557115200,5608.04,5660.00,5627.38,5658.11,263.85
1557118800,5639.25,5663.99,5658.15,5647.88,158.97
1557122400,5588.71,5651.70,5647.88,5618.63,250.92
1557126000,5571.67,5627.01,5618.63,5581.59,280.44
1557129600,5564.93,5615.00,5581.59,5594.40,225.35
1557133200,5594.39,5635.00,5594.40,5628.33,261.83
1557136800,5612.61,5649.00,5628.33,5616.50,215.60
1557140400,5616.49,5646.56,5616.50,5637.69,151.98
1557144000,5610.60,5637.70,5637.70,5612.10,208.60
1557147600,5612.09,5639.77,5612.09,5637.14,212.66
1557151200,5637.13,5666.09,5637.14,5650.94,363.43
1557154800,5642.90,5669.78,5650.94,5658.87,282.84
1557158400,5658.87,5723.21,5658.87,5702.79,858.64
1557162000,5687.77,5720.00,5702.79,5698.93,318.81
1557165600,5698.20,5744.85,5698.92,5739.96,380.74
1557169200,5713.16,5753.66,5739.94,5739.32,398.81
1557172800,5651.00,5746.17,5739.32,5692.19,1015.21
1557176400,5676.62,5704.99,5691.84,5692.67,299.50
1557180000,5690.88,5720.00,5692.67,5706.51,228.01
1557183600,5680.96,5709.08,5705.06,5687.90,141.89
1557187200,5687.90,5761.00,5687.90,5745.01,469.24
1557190800,5745.00,5779.00,5745.01,5749.83,357.93
1557194400,5749.82,5924.44,5749.82,5924.21,1548.88
1557198000,5872.00,5966.37,5923.61,5889.45,1805.99
1557201600,5833.26,5905.44,5888.58,5886.74,887.78
1557205200,5877.13,5915.09,5884.68,5883.98,278.38
1557208800,5866.59,5895.43,5883.97,5887.18,170.49
1557212400,5852.06,5886.26,5884.99,5877.56,431.17
1557216000,5861.00,5886.65,5877.56,5869.89,161.00
1557219600,5864.76,5923.47,5869.89,5910.19,363.22
1557223200,5889.21,5920.03,5910.20,5895.88,179.23
1557226800,5864.76,5895.88,5895.88,5890.21,172.26
1557230400,5890.00,5920.54,5890.14,5909.99,287.04
1557234000,5878.54,5950.30,5909.98,5950.29,555.98
1557237600,5760.00,5974.51,5950.28,5832.73,2699.87
1557241200,5827.33,5867.41,5832.63,5867.41,323.00
1557244800,5855.00,5898.57,5867.50,5898.57,341.11
1557248400,5885.44,5915.03,5898.56,5893.10,408.83
1557252000,5866.11,5893.20,5893.11,5876.55,321.24
1557255600,5791.20,5884.11,5876.77,5847.00,1097.19
1557259200,5835.03,5874.00,5847.00,5845.01,337.86
1557262800,5841.00,5888.95,5845.00,5887.00,212.28
1557266400,5860.41,5895.26,5883.96,5891.60,233.00
1557270000,5707.50,5902.00,5891.60,5748.45,2430.61
1557273600,5656.26,5790.00,5748.47,5771.50,1855.15
1557277200,5765.29,5800.00,5771.49,5789.97,508.54
1557280800,5780.51,5810.00,5789.09,5787.26,387.62
1557284400,5758.69,5796.96,5787.25,5780.00,417.36
1557288000,5780.00,5814.81,5780.00,5812.72,146.38
1557291600,5783.73,5812.73,5812.72,5799.55,155.19
1557295200,5799.54,5841.81,5799.55,5826.25,131.60
1557298800,5811.46,5840.00,5826.25,5819.07,168.35
1557302400,5788.46,5843.05,5820.31,5801.80,144.25
1557306000,5799.83,5824.97,5801.78,5808.22,77.69
1557309600,5810.25,5840.00,5810.55,5834.62,263.88
1557313200,5820.01,5874.97,5834.62,5847.52,275.25
1557316800,5836.21,5870.45,5847.51,5851.89,282.81
1557320400,5832.88,5862.27,5851.90,5859.03,273.40
1557324000,5820.00,5872.52,5859.03,5861.07,399.14
1557327600,5855.40,5905.66,5860.01,5892.46,682.72
1557331200,5868.01,5913.00,5891.38,5870.34,618.15
1557334800,5860.10,5889.75,5870.34,5880.26,590.29
1557338400,5860.00,5889.99,5877.19,5885.59,572.78
1557342000,5871.79,5913.16,5885.29,5902.71,890.62
1557345600,5866.92,5908.40,5902.71,5902.70,747.90
1557349200,5890.00,5910.00,5902.73,5896.99,374.83
1557352800,5885.00,5948.00,5896.99,5935.46,692.07
1557356400,5844.89,5990.00,5939.14,5948.41,2064.15
1557360000,5934.49,6054.21,5947.00,6015.42,1707.71
1557363600,6016.00,6098.21,6016.84,6051.22,2311.58
1557367200,6030.90,6060.00,6051.02,6043.07,693.50
1557370800,6022.01,6045.00,6043.07,6032.91,357.31
1557374400,6032.91,6063.37,6032.92,6063.37,417.96
1557378000,6040.00,6086.00,6063.90,6047.41,491.80
1557381600,6032.91,6074.90,6045.01,6065.03,449.86
1557385200,6047.09,6074.05,6066.32,6058.52,384.26
1557388800,6045.31,6072.94,6059.90,6048.72,287.39
1557392400,6000.62,6057.17,6049.99,6054.76,626.94
1557396000,6040.39,6062.17,6054.77,6048.00,107.82
1557399600,6021.72,6050.00,6048.00,6035.23,472.96
1557403200,5981.01,6035.11,6034.77,5998.76,1042.30
1557406800,5960.00,6016.80,5998.77,6010.01,925.60
1557410400,5989.17,6018.90,6010.00,5999.99,394.31
1557414000,5978.13,6015.00,6000.00,5998.94,379.93
1557417600,5993.00,6053.64,5998.94,6052.99,409.37
1557421200,6035.26,6061.47,6053.00,6058.65,444.41
1557424800,6039.20,6071.54,6058.64,6049.23,456.95
1557428400,6041.25,6075.00,6048.63,6066.81,401.08
1557432000,6050.19,6084.98,6066.80,6082.94,450.83
1557435600,6078.31,6139.99,6082.94,6119.85,1050.97
1557439200,6105.30,6167.28,6119.84,6167.28,787.54
1557442800,6112.34,6171.10,6167.28,6153.09,645.35
1557446400,6110.30,6160.00,6153.09,6114.01,430.56
1557450000,6108.81,6178.40,6114.00,6178.40,602.57
1557453600,6160.01,6260.00,6178.39,6226.33,1366.72
1557457200,6224.86,6319.00,6226.55,6279.29,2092.11
1557460800,6219.39,6298.44,6279.28,6298.44,919.30
1557464400,6254.53,6299.02,6298.44,6275.09,324.97
1557468000,6247.93,6287.63,6275.09,6287.00,268.64
1557471600,6263.14,6337.01,6287.00,6320.03,949.95
1557475200,6260.41,6336.75,6320.02,6280.25,354.26
1557478800,6256.25,6296.59,6280.25,6295.72,201.19
1557482400,6272.38,6319.78,6296.59,6272.39,276.14
1557486000,6265.96,6290.00,6272.39,6285.00,299.54
1557489600,6240.00,6290.69,6285.00,6282.03,698.92
1557493200,6264.10,6298.16,6282.03,6266.01,630.72
1557496800,6235.00,6267.39,6266.00,6253.65,581.82
1557500400,6240.04,6319.70,6253.65,6311.21,512.19
1557504000,6297.42,6430.00,6308.32,6379.00,1603.41
1557507600,6330.00,6418.54,6379.00,6409.71,1112.78
1557511200,6376.53,6424.20,6409.71,6399.99,710.51
1557514800,6361.94,6405.00,6400.00,6376.04,553.02
1557518400,6231.79,6376.01,6376.01,6293.31,1646.70
1557522000,6274.06,6337.50,6293.31,6329.87,624.23
1557525600,6328.00,6390.68,6329.88,6390.68,449.02
1557529200,6333.62,6390.69,6390.68,6343.14,391.09
1557532800,6342.98,6392.56,6342.99,6377.55,331.34
1557536400,6365.39,6484.44,6377.55,6484.43,1120.66
1557540000,6440.51,6524.05,6484.44,6523.66,941.03
1557543600,6516.71,6579.89,6523.66,6551.74,1270.24
1557547200,6526.29,6785.30,6551.74,6696.37,2315.52
1557550800,6635.00,6747.00,6690.36,6715.00,1482.94
1557554400,6652.20,6989.95,6717.26,6812.77,5228.00
1557558000,6767.99,6873.78,6812.77,6799.99,1258.41
1557561600,6665.01,6816.78,6799.98,6677.41,1037.62
1557565200,6677.40,6813.86,6677.41,6785.34,663.05
1557568800,6780.00,6850.00,6784.33,6830.01,771.77
1557572400,6780.00,6841.37,6830.00,6784.99,997.29
1557576000,6731.20,6810.78,6785.00,6785.11,728.23
1557579600,6775.01,6821.13,6784.57,6807.89,716.89
1557583200,6750.00,6826.35,6807.90,6789.99,788.85
1557586800,6756.28,6950.00,6790.00,6950.00,1207.19
1557590400,6882.35,7044.00,6950.00,6929.51,2179.25
1557594000,6875.00,6980.00,6929.00,6976.00,976.54
1557597600,6919.82,7029.99,6976.00,6955.42,1592.85
1557601200,6890.15,6959.06,6955.45,6936.72,757.78
